Title;Component;ISBN-13;Òîâàðíàÿ ãðóïïà
;Teacher's Notes;9780230404618;Captain Jack
;Photocopiables CD-ROM;9780230404014;Captain Jack
;Flip over Book;9780230404021;Captain Jack
;Flashcards;9780230404038;Captain Jack
;Class Audio CD (3);9780230404045;Captain Jack
;DVD-ROM;9780230403970;Captain Jack
CHECK YOUR VOCABULARY SERIES;;;
Check Your Vocabulary for Academic English;Student's Book;9780230033641;Check Your Vocabulary
Check Your Vocabulary for FCE;Student's Book;9780230033634;Check Your Vocabulary for FCE
Check Your Vocabulary for IELTS;Student's Book;9780230033603;Check Your Vocabulary for IELTS
Check Your Vocabulary for PET;Student's Book;9780230033597;Check Your Vocabulary for PET
Check Your Vocabulary for TOEIC;Student's Book;9780230033627;Check Your Vocabulary for TOEIC
Check Your Vocabulary for TOEFL;Student's Book;9780230033610;Check Your Vocabulary for TOEFL
CODE;;;
Code Blue;Student's Book;9789604472857;Code
;Workbook Plus (MPO & CD Pack);9789604472864;Code
;Workbook  & CD Pack;9789604473397;Code
;Teacher's Book & Test CD Pack;9789604472871;Code
;Class Audio CD (2);9789604472918;Code
;IWB Material;9789604472895;Code
Code Green;Student's Book;9789604472932;Code
;Workbook Plus (MPO & CD Pack);9789604472949;Code
;Workbook  & CD Pack;9789604473403;Code
;Teacher's Book & Test CD Pack;9789604472956;Code
;Class Audio CD (2);9789604472994;Code
;IWB Material;9789604472970;Code
Code Red;Student's Book;9789604473137;Code
;Workbook Plus (MPO & CD Pack);9789604473144;Code
;Workbook  & CD Pack;9789604473410;Code
;Teacher's Book & Test CD Pack;9789604473151;Code
;Class Audio CD (2);9789604473199;Code
;IWB Material;9789604473175;Code
COMMUNICATE;;;
Level 1;;;
;Student's Book;9780230440173;Communicate
;Student's Book Pack;9780230440180;Communicate
;Teacher's CD-ROM & DVD Pack;9780230440319;Communicate
;Teacher's Multi-ROM;9780230440197;Communicate
Level 2;;;
;Student's Book;9780230440357;Communicate
;Student's Book Pack;9780230440340;Communicate
;Teacher's CD-ROM & DVD Pack;9780230440326;Communicate
;Teacher's Multi-ROM;9780230440333;Communicate
CULTURE VIEW;;;
Level 1;Teacher's CD-ROM & DVD Pack;9780230466760;Culture View
Level 2;Teacher's CD-ROM & DVD Pack;9780230466791;Culture View
;;;
DESTINATION GRAMMAR AND VOCABULARY SERIES;;;
Destination B1;;;
;Student's Book With Key;9780230035362;Destination
;Student's Book Without Key ;9780230035379;Destination
Destination B2 (new edition);;;
;Student's Book With Key;9780230035386;Destination
;Student's Book Without Key ;9780230035393;Destination
Destination C1 & C2;;;
;Student's Book With Key;9780230035409;Destination
;Student's Book Without Key ;9780230035416;Destination
DIRECT TO SERIES;;;
Direct to FCE;Student's Book With Key & Webcode Pack;9780230414679;Direct to FCE
;Student's Book Without Key & Webcode Pack;9780230419216;Direct to FCE
;Teacher's Book;9780230409576;Direct to FCE
;Class Audio CD (2);9780230409583;Direct to FCE
Direct to IELTS;Student’s Book Without Key & Webcode Pack  ;9780230439924;Direct to IELTS
;Student’s Book With Key & Webcode Pack ;9780230439931;Direct to IELTS
;Teacher’s Book & Webcode Pack;9780230439979;Direct to IELTS
;Class Audio CD (1);9780230439986;Direct to IELTS
Direct to TOEFL ibt;Student's Book & Webcode Pack;9780230409910;Direct to TOEFL iBT
DISCOVER CHINA;;;
Level 1;Student's Book & Audio CD Pack;9780230405950;Discover China
;Workbook & Audio CD Pack;9780230406384;Discover China
Level 2;Student's Book & Audio CD Pack;9780230406391;Discover China
;Workbook & Audio CD Pack;9780230406407;Discover China
Level 3;Student's Book & Audio CD Pack;9780230406414;Discover China
;Workbook & Audio CD Pack;9780230406421;Discover China
Level 4;Student's Book & Audio CD Pack;9780230406438;Discover China
;Workbook & Audio CD Pack;9780230406445;Discover China
EFFECTIVE READING;;;
Elementary;Student's Book;9780230029149;Effective Reading
Pre-intermediate;Student's Book;9780230029156;Effective Reading
Intermediate;Student's Book;9780230029163;Effective Reading
Upper Intermediate;Student's Book;9780230029170;Effective Reading
EMAIL ENGLISH (2nd edition);;;
;Student's Book;9780230448551;Email English
ENGLISH FOR LAW ENFORCEMENT;;;
;Student's Book & CD-ROM Pack;9780230732582;English for Law Enforcement
;Teacher's Book;9780230732575;English for Law Enforcement
;Class Audio CD (2);9780230405264;English for Law Enforcement
ENGLISH READING & COMPREHENSION ;;;
Level 1;Student's Book;9781405024808;English Reading & Comprehension 
Level 2;Student's Book;9781405024815;English Reading & Comprehension 
Level 3;Student's Book;9781405024822;English Reading & Comprehension 
Level 1-3;Teacher's Book;9781405028196;English Reading & Comprehension 
ENGLISH WORLD;;;
Level 1;Pupil's Book;9780230024595;English World (1-4)
;Teacher's Guide & Webcode Pack;9780230467521;English World (1-4)
;Workbook;9780230024779;English World (1-4)
;Class Audio CD (2);9780230024502;English World (1-4)
;DVD-Rom;9780230032248;English World (1-4)
;Flashcards;9780230024564;English World (1-4)
;Posters;9780230024656;English World (1-4)
;Grammar Practice Book;9780230032040;English World (1-4)
;World Dictionary;9780230032149;English World (1-4)
Level 2;Pupil's Book;9780230024601;English World (1-4)
;Teacher's Guide & Webcode Pack;9780230467538;English World (1-4)
;Workbook;9780230024786;English World (1-4)
;Class Audio CD (2);9780230024519;English World (1-4)
;DVD-Rom;9780230032255;English World (1-4)
;Flashcards;9780230024571;English World (1-4)
;Posters;9780230024663;English World (1-4)
;Grammar Practice Book;9780230032057;English World (1-4)
;World Dictionary;9780230032156;English World (1-4)
Level 3;Pupil's Book;9780230024618;English World (1-4)
;Teacher's Guide & Webcode Pack;9780230467545;English World (1-4)
;Workbook;9780230024793;English World (1-4)
;Class Audio CD (2);9780230024526;English World (1-4)
;DVD-Rom;9780230032262;English World (1-4)
;Flashcards;9780230024588;English World (1-4)
;Posters;9780230024670;English World (1-4)
;Grammar Practice Book;9780230032064;English World (1-4)
;World Dictionary;9780230032163;English World (1-4)
Level 4 ;Pupil's Book;9780230024625;English World (1-4)
;Teacher's Guide & Webcode Pack;9780230467552;English World (1-4)
;Workbook;9780230024809;English World (1-4)
;Class Audio CD (3);9780230024533;English World (1-4)
;DVD-Rom;9780230032279;English World (1-4)
;Posters;9780230024687;English World (1-4)
;Grammar Practice Book;9780230032071;English World (1-4)
;World Dictionary;9780230032170;English World (1-4)
Level 5;Pupil's Book;9780230024632;English World (5-10)
;Teacher's Guide & Webcode Pack;9780230467569;English World (5-10)
;Workbook;9780230024816;English World (5-10)
;Class Audio CD (3);9780230024540;English World (5-10)
;DVD-Rom;9780230032286;English World (5-10)
;Posters;9780230024694;English World (5-10)
;Grammar Practice Book;9780230032088;English World (5-10)
;World Dictionary;9780230032187;English World (5-10)
Level 6;Pupil's Book;9780230024649;English World (5-10)
;Teacher's Guide & Webcode Pack;9780230467576;English World (5-10)
;Workbook;9780230024823;English World (5-10)
;Class Audio CD (3);9780230024557;English World (5-10)
;DVD-Rom;9780230032293;English World (5-10)
;Posters;9780230024700;English World (5-10)
;Grammar Practice Book;9780230032095;English World (5-10)
;World Dictionary;9780230032194;English World (5-10)
Level 7;Pupil's Book;9780230032521;English World (5-10)
;Teacher's Book;9780230032569;English World (5-10)
;Workbook & CD-Rom;9780230440920;English World (5-10)
;Class Audio CD (3);9780230032446;English World (5-10)
;DVD-Rom;9780230032309;English World (5-10)
;World Dictionary;9780230032200;English World (5-10)
;Exam Practice Book;9780230032101;English World (5-10)
Level 8;Pupil's Book;9780230032538;English World (5-10)
;Teacher's Book;9780230032576;English World (5-10)
;Workbook & CD-Rom;9780230441309;English World (5-10)
;Class Audio CD (3);9780230032453;English World (5-10)
;DVD-Rom;9780230032316;English World (5-10)
;Exam Practice Book;9780230032118;English World (5-10)
Level 9;Pupil's Book;9780230032545;English World (5-10)
;Teacher's Book;9780230032583;English World (5-10)
;Workbook & CD-Rom;9780230441323;English World (5-10)
;Class Audio CD (3);9780230032460;English World (5-10)
;DVD-Rom;9780230032323;English World (5-10)
;Exam Practice Book;9780230032125;English World (5-10)
Level 10;Pupil's Book;9780230032552;English World (5-10)
;Teacher's Book;9780230032590;English World (5-10)
;Workbook & CD-Rom;9780230441347;English World (5-10)
;Class Audio CD (3);9780230032477;English World (5-10)
;DVD-Rom;9780230032330;English World (5-10)
;Exam Practice Book;9780230037038;English World (5-10)
EXPLORERS;;;
EXPLORERS PHONICS;;;
Little Explorers A;;;
Look!;Reader;9780230404861;Explorers Phonics: Little Explorers A
Run and Hide;Reader;9780230404854;Explorers Phonics: Little Explorers A
In Daisy's Box;Reader;9780230404847;Explorers Phonics: Little Explorers A
In Teddy's Bag;Reader;9780230404830;Explorers Phonics: Little Explorers A
Little Explorers B;;;
In the Mud;Reader;9780230404892;Explorers Phonics: Little Explorers B
Pin it on;Reader;9780230404885;Explorers Phonics: Little Explorers B
Fish and Chips;Reader;9780230404908;Explorers Phonics: Little Explorers B
Teddy in Bed;Reader;9780230404878;Explorers Phonics: Little Explorers B
Young Explorers 1;;;
Tom's Haircut;Reader;9780230404786;Explorers Phonics: Young Explorers 1
Professor Green and the Snake;Reader;9780230404779;Explorers Phonics: Young Explorers 1
Daisy is Ill;Reader;9780230404755;Explorers Phonics: Young Explorers 1
Crazy Cat and the Fat Old Rat;Reader;9780230404762;Explorers Phonics: Young Explorers 1
Young Explorers 2;;;
Pirate Jack looks for Treasure;Reader;9780230404823;Explorers Phonics: Young Explorers 2
Crazy Cat and the Stars;Reader;9780230404816;Explorers Phonics: Young Explorers 2
Daisy and the Yellow Kite;Reader;9780230404809;Explorers Phonics: Young Explorers 2
The Muddy Sheep;Reader;9780230404793;Explorers Phonics: Young Explorers 2
LITTLE EXPLORERS;;;
Little Explorers A;;;
Daisy the Dinosaur;Reader;9781405059879;Little Explorers A
Daisy the Dinosaur ;Big Book;9781405061148;Little Explorers A
The Big Bad Monster;Reader;9781405059909;Little Explorers A
The Big Bad Monster ;Big Book;9781405061155;Little Explorers A
The New Baby;Reader;9781405059855;Little Explorers A
The New Baby;Big Book;9781405061131;Little Explorers A
Teddy's Big Day;Reader;9781405059886;Little Explorers A
At the Zoo;Reader;9781405059862;Little Explorers A
The Biscuit Man;Reader;9781405059893;Little Explorers A
;Comprehension Workbook;9781405060769;Little Explorers A
;Phonics Book;9781405061124;Little Explorers A
Little Explorers B;;;
A Party for Teddy;Reader;9781405059947;Little Explorers B
A Party for Teddy ;Big Book;9781405061209;Little Explorers B
Stone Soup;Reader;9781405059916;Little Explorers B
Stone Soup ;Big Book;9781405061216;Little Explorers B
The School Play;Reader;9781405059961;Little Explorers B
The School Play;Big Book;9781405061193;Little Explorers B
Daisy and Danny;Reader;9781405059930;Little Explorers B
Chicken Licken;Reader;9781405059923;Little Explorers B
A Fun Day Out;Reader;9781405059954;Little Explorers B
;Teacher's Book;9781405061346;Little Explorers B
;Comprehension Workbook;9781405060776;Little Explorers B
;Phonics Book;9781405061186;Little Explorers B
YOUNG EXPLORERS ;;;
Young Explorers 1;;;
Little Red Riding Hood;Reader;9780230469259;Young Explorers 1
Greedy Gretel;Reader;9781405059978;Young Explorers 1
Greedy Gretel;Big Book;9781405061254;Young Explorers 1
In the Jungle;Reader;9781405060004;Young Explorers 1
In the Jungle;Big Book;9781405061261;Young Explorers 1
Aunt Rose Comes to Stay;Reader;9781405060011;Young Explorers 1
Aunt Rose Comes to Stay;Big Book;9781405061278;Young Explorers 1
Going to the Beach;Reader;9781405060028;Young Explorers 1
Daisy has the Hiccups;Reader;9781405059992;Young Explorers 1
Lazy Lenny;Reader;9781405059985;Young Explorers 1
;Teacher's Book;9781405061117;Young Explorers 1
;Comprehension Workbook;9781405060752;Young Explorers 1
;Phonics Workbook;9781405061247;Young Explorers 1
Young Explorers 2;;;
Puss in Boots;Reader;9780230469266;Young Explorers 2
Daisy's Dancing;Reader;9781405060059;Young Explorers 2
Sun Cloud Stone;Reader;9781405060042;Young Explorers 2
Jump Stick Jump;Reader;9781405060035;Young Explorers 2
Pirate Jack;Reader;9781405060066;Young Explorers 2
The Bike Race;Reader;9781405060073;Young Explorers 2
See You Soon;Reader;9781405060080;Young Explorers 2
;Comprehension Workbook;9781405060813;Young Explorers 2
;Phonics Workbook;9781405061308;Young Explorers 2
EXPLORERS;;;
Explorers 3;;;
The Ugly Duckling;Reader;9780230469273;Explorers 3
How the Camel Got His Hump;Reader;9780230719866;Explorers 3
How the Camel Got His Hump;Workbook;9780230719873;Explorers 3
The Elephant's Child;Reader;9781405060097;Explorers 3
The Elephant's Child;Workbook;9781405060875;Explorers 3
The Magic Flute;Reader;9781405060103;Explorers 3
The Magic Flute ;Workbook;9781405060882;Explorers 3
Yeti Comes to Town;Reader;9781405060127;Explorers 3
Yeti Comes to Town;Workbook;9781405060905;Explorers 3
The Camcorder Thief;Reader;9781405060110;Explorers 3
The Camcorder Thief;Workbook;9781405060899;Explorers 3
Snow White;Reader;9780230719781;Explorers 3
Snow White;Workbook;9780230719798;Explorers 3
Explorers 4;;;
The Jungle Book;Reader;9780230469280;Explorers 4
Robin Hood;Reader;9781405060158;Explorers 4
Robin Hood;Workbook;9781405060936;Explorers 4
Dan Tries to Help;Reader;9781405060172;Explorers 4
Dan Tries to Help;Workbook;9781405060950;Explorers 4
Adventures of Odysseus;Reader;9781405060165;Explorers 4
Adventures of Odysseus;Workbook;9781405060943;Explorers 4
Escape from the Fire;Reader;9781405060189;Explorers 4
Escape from the Fire;Workbook;9781405060967;Explorers 4
Pinocchio;Reader;9780230719903;Explorers 4
Pinocchio;Workbook;9780230719910;Explorers 4
The Snow Queen;Reader;9780230719927;Explorers 4
The Snow Queen;Workbook;9780230719934;Explorers 4
Explorers 5;;;
Alice's Adventures In Wonderland;Reader;9780230469297;Explorers 5
Five Children & It;Reader;9781405060219;Explorers 5
Five Children & It;Workbook;9781405060998;Explorers 5
The Secret Garden;Reader;9781405060226;Explorers 5
The Secret Garden ;Workbook;9781405061001;Explorers 5
The Fishy Business;Reader;9781405060233;Explorers 5
The Fishy Business;Workbook;9781405061018;Explorers 5
The Bronze Bust Mystery;Reader;9781405060240;Explorers 5
The Bronze Bust Mystery;Workbook;9781405061025;Explorers 5
Aladdin;Reader;9780230719804;Explorers 5
Aladdin;Workbook;9780230719811;Explorers 5
Black Beauty;Reader;9780230719842;Explorers 5
Black Beauty;Workbook;9780230719859;Explorers 5
;Teacher's Book;9781405061360;Explorers 5
Explorers 6;;;
Through the Looking Glass;Reader;9780230469303;Explorers 6
Treasure Island;Reader;9781405060288;Explorers 6
Treasure Island;Workbook;9781405061056;Explorers 6
Railway Children;Reader;9781405060295;Explorers 6
Railway Children ;Workbook;9781405061063;Explorers 6
Time Twist;Reader;9781405060301;Explorers 6
Time Twist;Workbook;9781405061087;Explorers 6
Danger on Misty Mountain;Reader;9781405060318;Explorers 6
Danger on Misty Mountain;Workbook;9781405061070;Explorers 6
Ali Baba;Reader;9780230719828;Explorers 6
Ali Baba;Workbook;9780230719835;Explorers 6
Nicholas Nickleby;Reader;9780230719880;Explorers 6
Nicholas Nickleby;Workbook;9780230719897;Explorers 6
;Teacher's Book;9781405061384;Explorers 6
FIRST CERTIFICATE PASSKEY;;;
;Student's Book;9780435244897;First Certificate Passkey
;Teacher's Book;9780435244903;First Certificate Passkey
;Grammar Practice Book With Key;9780435244958;First Certificate Passkey
;Grammar Practice Book Without Key;9780435244965;First Certificate Passkey
FOCUSING ON IELTS;;;
Listening & Speaking Skills;With Key & Audio CD Pack;9781420230192;Focusing on IELTS
Reading & Writing Skills;With Key & Audio CD Pack;9781420230208;Focusing on IELTS
General Training Practice Tests;With Key & Audio CD Pack;9781420230215;Focusing on IELTS
Academic Practice Tests;With Key & Audio CD Pack;9781420230222;Focusing on IELTS
FOOTPRINTS;;;
Level 1;Pupil's Book Pack;9780230011991;Footprints
;Activity Book;9780230011908;Footprints
;Teacher's Book;9780230722149;Footprints
;Photocopiable CD;9780230716384;Footprints
;Class Audio CD (3);9780230011922;Footprints
;Flashcards;9780230011953;Footprints
;Word Cards;9780230011960;Footprints
;Finger Puppet;9780230011977;Footprints
Level 2;Pupil's Book Pack;9780230012097;Footprints
;Activity Book;9780230012011;Footprints
;Teacher's Book;9780230012028;Footprints
;Photocopiable CD;9780230716391;Footprints
;Class Audio CD (3);9780230012035;Footprints
;Flashcards;9780230012066;Footprints
;Word Cards;9780230012073;Footprints
Level 1 & 2;Digital Book;9780230413955;Footprints
Level 3 ;Pupil's Book Pack ;9780230012189;Footprints
;Activity Book ;9780230733732;Footprints
;Teacher's Book;9780230012127;Footprints
;Photocopiable CD;9780230722200;Footprints
;Class Audio CD (3);9780230012134;Footprints
;Flashcards;9780230012165;Footprints
;Word Cards;9780230012172;Footprints
Level 4;Pupil's Book  Pack;9780230012295;Footprints
;Activity Book ;9780230733749;Footprints
;Teacher's Book;9780230012226;Footprints
;Photocopiable CD;9780230722248;Footprints
;Class Audio CD (4);9780230012233;Footprints
;Flashcards;9780230012264;Footprints
;Word Cards;9780230012271;Footprints
Level 3 & 4;Digital Book;9780230413856;Footprints
Level 5;Pupil's Book Pack ;9780230012370;Footprints
;Activity Book ;9780230012318;Footprints
;Teacher's Book;9780230012325;Footprints
;Photocopiable CD;9780230722286;Footprints
;Class Audio CD (4);9780230012332;Footprints
Level 6;Pupil's Book Pack;9780230012455;Footprints
;Activity Book ;9780230012394;Footprints
;Teacher's Book;9780230012400;Footprints
;Photocopiable CD;9780230722323;Footprints
;Class Audio CD (4);9780230012417;Footprints
Level 5 & 6;Digital Book;9780230413870;Footprints
GATEWAY;;;
A2;Student's Book;9780230723382;Gateway
;Student's Book & Webcode;9780230417595;Gateway
;Workbook;9780230723399;Gateway
;Teacher's Book & Test CD Pack & Webcode;9780230411791;Gateway
;Class Audio CD (2);9780230723412;Gateway
;IWB DVD-ROM Single User;9780230723429;Gateway
B1;Student's Book;9780230723443;Gateway
;Student's Book & Webcode;9780230417601;Gateway
;Workbook;9780230723450;Gateway
;Teacher's Book & Test CD Pack & Webcode;9780230417229;Gateway
;Class Audio CD (2);9780230723474;Gateway
;IWB DVD-ROM Single User;9780230723481;Gateway
B1+;Student's Book;9780230723504;Gateway
;Student's Book & Webcode;9780230417632;Gateway
;Workbook;9780230723511;Gateway
;Teacher's Book & Test CD Pack & Webcode;9780230417212;Gateway
;Class Audio CD (2);9780230723535;Gateway
;IWB DVD-ROM Single User;9780230723542;Gateway
B2;Student's Book;9780230723566;Gateway
;Student's Book & Webcode;9780230417618;Gateway
;Workbook;9780230723573;Gateway
;Teacher's Book & Test CD Pack & Webcode;9780230411838;Gateway
;Class Audio CD (2);9780230723597;Gateway
;IWB DVD-ROM Single User;9780230723603;Gateway
B2+;Student's Book;9780230723627;Gateway
;Student's Book & Webcode;9780230417625;Gateway
;Workbook;9780230723634;Gateway
;Teacher's Book & Test CD Pack & Webcode;9780230417656;Gateway
;Class Audio CD (2);9780230723658;Gateway
;IWB DVD-ROM Single User;9780230723665;Gateway
GET READY FOR INTERNATIONAL BUSINESS;;;
Level 1;;;
;Student’s Book [BEC Edition];9780230447868;Get Ready for International Business
;Class Audio CD (2) [BEC Edition] ;9780230447882;Get Ready for International Business
;Student’s Book [TOEIC Edition];9780230433250;Get Ready for International Business
;Class Audio CD (2) [TOEIC Edition] ;9780230447899;Get Ready for International Business
;Teacher's Book;9780230447875;Get Ready for International Business
Level 2;;;
;Student’s Book [BEC Edition];9780230447905;Get Ready for International Business
;Class Audio CD (2) [BEC Edition];9780230447936;Get Ready for International Business
;Student’s Book [TOEIC Edition];9780230447912;Get Ready for International Business
;Class Audio CD (2) [TOEIC Edition];9780230447943;Get Ready for International Business
;Teacher's Book;9780230447929;Get Ready for International Business
GET READY FOR BUSINESS;;;
Level 1;Student's Book;9780230039797;Get Ready for Business
;Teacher's Book;9780230039810;Get Ready for Business
